track_id,track_name,artist,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
1rQqWFOjxl0aDY9wFyuTi9,Log out of your world,Power Station,23,0.529,0.451,6.0,-12.181,0.0491,0.328,0.0,0.968,0.434,162.103,263.746
2Y3hFfMbewVWB1lJLHCTLc,Our Love Like This (Reply 1997 Love Story OST),Seo In Guk,0,0.447,0.304,8.0,-9.356,0.0303,0.591,0.0,0.122,0.148,139.959,258.377
0kn2gu8Pd03DiYHzRvX2Xk,Wish You Were Sober,Conan Gray,70,0.701,0.728,2.0,-5.226,0.0468,0.0178,0.0,0.17,0.696,91.071,168.88
0sHFw13WH3LtSB3yP8UMYJ,Falling for U,Peachy!,0,0.516,0.358,8.0,-12.018,0.424,0.743,1.3e-06,0.0813,0.397,79.509,124.0
0pw3iNV4W2ClhnditkKZa2,Boogie,Jealous Friend,0,0.688,0.625,0.0,-7.509,0.0402,0.476,0.0,0.143,0.766,124.997,166.56
2MIBAmYwiuGoKUlpq9B9sZ,Can't Tell Me Nothing,Kanye West,2,0.596,0.62,5.0,-6.133,0.039,0.0122,0.0,0.82,0.102,80.029,271.6
4efZXKOFm1rk22FDjScLbE,Sunkissed,khai dreams,0,0.768,0.354,6.0,-9.484,0.0539,0.592,0.0,0.399,0.793,153.97,126.464
41TVMXb9THdtTlo2KojUDe,Somebody to Shove (2022 Remaster),Soul Asylum,44,0.427,0.902,7.0,-6.157,0.0591,0.000475,0.0,0.241,0.354,161.956,195.36
5mpWGq83n0sIgGRopGk5QZ,Wrap Me In Plastic,MOMOLAND,56,0.821,0.602,5.0,-2.916,0.0907,0.286,0.0,0.0862,0.776,179.932,192.808
0WkfQ4SJqsKrixNQNYSMsq,BIRTHDAY DANCE,Josh Levi,61,0.404,0.557,6.0,-8.204,0.154,0.0515,0.0,0.167,0.135,142.302,144.49
0heVTeZw99vJl4QyJC0wyk,Bloom,Troye Sivan,0,0.708,0.701,0.0,-5.196,0.0328,0.031,0.0,0.392,0.504,120.932,222.097
5FotCNJEeRjXwLGsbtyS9t,Dunk Shot,NCT WISH,47,0.614,0.834,5.0,-6.094,0.0721,0.0301,0.0,0.092,0.925,111.077,179.427
7b9zqYwZ75yfUWkg6lcR7g,"Swan Lake, Op.20, Act I, 4. Pas de trois: II. Andante sostenuto",Pyotr Ilyich Tchaikovsky,0,0.123,0.0193,7.0,-32.836,0.0381,0.975,0.868,0.173,0.108,95.472,147.707
2KLwPaRDOB87XOYAT2fgxh,Pussy & Millions (feat. Travis Scott),Drake,70,0.747,0.618,4.0,-6.685,0.111,0.061,0.0,0.377,0.377,122.09,242.027
4OCzAGgyWsUKpdWufYywZm,Cochise,Audioslave,34,0.452,0.873,9.0,-4.867,0.0613,0.000519,0.0,0.0592,0.433,80.473,222.027
6lo9DfMREEeZaWWU6KSYp5,How Do I Live,LeAnn Rimes,48,0.577,0.462,2.0,-7.989,0.0279,0.128,0.0,0.0822,0.258,128.303,266.973
3mTmGzRwgPPqLSi7Smvkxt,突然好想你,Mayday,0,0.377,0.567,8.0,-5.479,0.0505,0.369,0.0,0.855,0.146,132.033,291.2
33KzJtbSIQY3z9q3hfKnLO,너 때문에 미쳐,T-ARA,0,0.709,0.639,10.0,-7.063,0.0399,0.00244,0.0697,0.0865,0.439,135.013,194.587
1XJMRdFSgkrmw2cXLJOD0b,"3 Visions: No. 2, Summerland",William Grant Still,52,0.46,0.00618,6.0,-28.121,0.0481,0.994,0.89,0.0896,0.086,67.12,293.52
6nbRXoZJAWlHtnWcPAY9Or,"Pop, Lock & Drop It (feat. Bow Wow & T-Pain) - Remix",Huey,44,0.802,0.689,0.0,-6.264,0.343,0.0227,0.0,0.415,0.838,144.096,269.973
3omXshBamrREltcf24gYDC,First,Cold War Kids,66,0.468,0.692,2.0,-4.015,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,200.36
5CwNAWbnzAzu33Y4Sry4OJ,"Peer Gynt-Suite Nr. 1, Op. 46: I. Morning",Edvard Grieg,33,0.123,0.0174,4.0,-23.671,0.0408,0.985,0.906,0.125,0.0352,71.705,259.573
4c9WmjVlQMr0s1IjbYO52Z,My Number,Foals,1,0.639,0.744,6.0,-8.377,0.0368,0.0319,0.000458,0.466,0.825,128.047,240.533
