track_names,embedding_dim_1,embedding_dim_2,embedding_dim_3,embedding_dim_4,embedding_dim_5,embedding_dim_6,embedding_dim_7,embedding_dim_8,embedding_dim_9,embedding_dim_10,embedding_dim_11,embedding_dim_12
"Ständchen in D Minor (After Schubert), S. 560 | Debussy: Suite bergamasque, CD 82, L. 75: III. Clair de lune | Concerto-Pasticcio in C Major: I. Largo | An der schönen blauen Donau, Waltz, Op. 314 | Espresso",0.08153269,-0.6496251,-0.18345663,-0.35315272,-0.43152586,0.06488272,0.08860556,0.27278882,-0.135504,0.16034953,-0.23415199,0.2034128
"Stille Musik: 3. Augenblicke der Serenade | 12 Klavierstücke für kleine und große Kinder, Op. 85: No. 12, Abendlied (Arr. Rot for Cello and Orchestra) | Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano) | Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio | A Colour Field - Piano Version",0.27149674,-0.4267057,-0.28621864,-0.33822492,-0.2527392,0.065018274,0.301276,0.4567356,-0.17955883,0.3301823,-0.19227386,-0.04674015
"Primavera | Five Pieces For Violin And Piano: I. Elegia (Andante Larghetto) | Serse, HWV 40: Largo ""Ombra mai fu"" | Andante spiniato in G: Allegro maestoso | Due Tramonti",0.23211648,-0.29813442,-0.37949926,-0.39099976,-0.20691098,0.26549107,0.31402737,0.5318939,-0.15667045,0.17898692,-0.09139503,-0.024089247
"Vivaldi: The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro | 3 Spirituals for Orchestra: No. 2. Kum Bab Yah | Here Comes The Sun | Howl's Moving Castle - Merry-Go-Round of Life | Bunte Reihe, S484/R149: Gondellied in F Major",0.24277397,-0.30501267,-0.23759046,-0.3094023,-0.30662632,0.38755387,0.13311443,0.57252365,-0.014426833,0.24312435,-0.21612291,0.01009662
"8 Pieces, Op. 83 (Arr. for Violin, Viola & Piano): No. 2, Allegro con moto | Concertino for Clarinet & Bassoon in B-Flat Major, Op. 47: II. Andante moderato | Sibelius: Andante festivo | Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso | String Quartet No. 1 in D Major, Op. 11, TH 111: II. Andante cantabile (Version for String Orchestra)",0.34287417,-0.20937434,-0.41925618,-0.22285886,-0.2645555,0.4327557,0.2849298,0.47873333,-0.10197821,0.18270287,-0.022948911,-0.034837563
"Mystery (Rosary) Sonata No. 9, ""Jesus Carries the Cross"": I. Sonata | 16 Waltzes, Op. 39 (Version for Piano Duet): No. 15 in A-Flat Major | Mendelssohn: Song Without Words in D Major, Op. 109, MWV Q34 | Elgar: Variations on an Original Theme, Op. 36 ""Enigma"": Variation IX. Nimrod | Piano Concerto No. 2 in F Major, Op. 102: II. Andante",0.260795,-0.13824119,-0.34687918,-0.50195557,-0.23304103,0.47343037,0.23901689,0.36433634,-0.009183091,0.20733899,-0.10417037,0.13546586
"Bewitched - Rework | Albinoni: Oboe Concerto in D Minor, Op. 9 No. 2: II. Adagio | Perfect | 10 Woodland Sketches, Op. 51: No. 1, To a Wild Rose | Symphony No. 8 in B Minor, D. 759 ""Unfinished"": II. Andante con moto",0.2578985,-0.13041513,-0.43219793,-0.30573192,-0.30254972,0.37543717,0.36625063,0.48984724,-0.040374693,0.14322786,0.040393848,0.0765373
Adieux | Hungarian Rhapsody No. 2 | Right Here Waiting - Symphony Orchestra Version | Paint It Black | Requiem: Pie Jesu,0.34802002,-0.265818,-0.39275724,-0.039677035,-0.26213738,0.20555814,0.238291,0.62323475,-0.13439806,0.17313042,-0.115683705,-0.186538
"Tafelmusik - Banquet Music In 3 Parts / Production 1 - 3. Concert In A Major, TWV 53:A2: 2. Allegro | Boccherini: String Quintet in E Major, Op. 11 No. 5, G. 275: III. Minuetto - Trio (Arr. Woodhouse for String Orchestra) | Symphony No. 5: IV. Adagietto. Sehr langsam | Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise"" | Air Piano Variation (From Orchestral Suite No. 3, BWV 1068, Arr. for Piano by Svetoslav Karparov)",0.31318185,-0.35697398,-0.25197157,-0.12915403,-0.35542783,0.1860263,0.19139181,0.5953116,-0.044211306,0.3054444,-0.20407267,-0.07388055
"Gnossienne No. 1 | Berceuse, Op. 16 | Nocturne No. 2 in E-Flat Major, Op. 9 No. 2 (Arr. Cullen for Cello and Orchestra) | Notturno for Strings and Harp | Concerto in D Minor, BWV 974: II. Adagio (After Marcello)",0.30163682,-0.3057009,-0.38616255,-0.3732706,-0.19301471,0.38555202,0.1856531,0.47082278,-0.13288544,0.20502815,-0.15925258,-0.0026108907
"Suite d'Abdelazer: or, the moor's revenge: Rondeau | Hungarian Dance No. 5 in G Minor, WoO 1, No. 5 | Carnaval, Op. 9: No. 5. Eusebius (Adagio - Più lento molto teneramente) | BIRDS OF A FEATHER | Première Gymnopédie",0.18047182,-0.47019693,-0.033543855,-0.2909669,-0.36395505,0.27723193,0.027750015,0.46497235,-0.0028305212,0.33953986,-0.3433763,0.032636352
"Good 4 U - Arr. for String Quartet | Valse lente, Op. 33 (arr. for orchestra) | Nocturne No. 1 in E Flat Major, H.24 | As the Deer | Lacrimosa (Arr. Piano)",0.1399783,-0.3463704,-0.2068947,-0.4693797,-0.25983754,0.34532717,0.18657401,0.524759,-0.061318837,0.22894251,-0.19806439,0.07041627
"Veridis quo | Les Miserables Medley | Istanbul | The Well-Tempered Clavier, Book 1: Prelude No. 1 in C Major, BWV 846/1 | Florida Suite: By the River",0.2661629,-0.23839742,-0.36471683,-0.4023437,-0.2516835,0.2381398,0.37700647,0.506201,-0.08941645,0.21868809,-0.032858666,0.045794476
"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif) | Violin Concerto in E-Flat Major, RV 257: III. Allegro | Verdi: Aida, Act 2: Marcia trionfale | Capriol Suite: 5. Pied-en- l'air | Concerto in D Major, Op. 77: II. Adagio",0.3431527,-0.21307188,-0.38657403,-0.39942977,-0.13266802,0.5332453,0.1915081,0.34139585,-0.14758489,0.18747966,-0.12290754,-0.025471652
"Vampire | Natural Light | Concerto grosso in G Minor, Op. 6, No. 8, ""Fatto per la Notte di Natale"": III. Adagio - Allegro - Adagio | wind whispers, Op. 85: II. floating leaf | Die Walkure, Act III: Ride of the Valkyries",0.28659546,-0.35164505,-0.3327085,-0.16349858,-0.28584275,0.26845843,0.24062929,0.60776675,-0.15350254,0.10718076,-0.12480141,-0.15842064
"Rondo Alla Turca | By the Still Waters, Op. 114 | improvisation | Enigma Variations, Op. 36: Var. 9. Adagio ""Nimrod"" | West Side Story Symphonic Dances: IX. Finale - Live",0.28886145,-0.29466438,-0.29243225,-0.341455,-0.24719265,0.26955673,0.23821466,0.5685746,-0.056739487,0.28471082,-0.1707428,-0.020066721
"Tissue No. 7 | OMG | Cello Concerto in C Major, RV 398: II. Largo | Violin Concerto No. 2 in A Major, Op. 5: II. Largo | abcdefu (arr. piano)",0.17303397,-0.37065905,-0.2751929,-0.3058117,-0.32590833,0.29858652,0.182007,0.62783855,-0.07172455,0.11906523,-0.14516309,0.018651074
"Fauré: 3 Mélodies, Op. 7: No. 1, Après un rêve (Arr. Hazell & Büsser for Cello and Orchestra) | An Wasserflüssen Babylon, BWV 653b | Dreamy | Schumann: Cello Concerto in A Minor, Op. 129: II. Langsam (Live) | Easy On Me",0.23264094,-0.37851402,-0.26704642,-0.28261447,-0.3262733,0.31047726,0.14838055,0.575215,-0.07442251,0.19958232,-0.2234922,-0.018987415
"Piano Concerto in A Minor, Op. 7: II. Romanze. Andante non troppo con grazia | The Sorcerer's Apprentice | Petite Suite de Concert, Op. 77: III. Un sonnet d'amour | William Tell Overture | Cello Sonata, FP 143: Cavatine: Tres calme",0.28189942,-0.32521424,-0.29025087,-0.10125439,-0.2939254,0.15814365,0.31162676,0.6054655,-0.13841666,0.29100797,-0.11790305,-0.16559972
"Vague / E la nave va | The Arts and the Hours | Valses Poéticos H. 147, DLR 7:8: No. 1: Melódico | everything i wanted (notturno) | Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",0.3796602,-0.5390111,-0.17087701,-0.13989347,-0.31413254,0.11682167,0.16042404,0.4225802,-0.147225,0.34082228,-0.22763206,-0.10133225
"Sonata in E Major, K. 380 | Waltz in A Minor “Found in New York” - 2024 World Premiere Recording | Estrellita (Arr. Abril & Barrueco for Guitar) | Save Your Tears (arr. string quartet) - Inspired by 'Bridgerton' | O Magnum Mysterium: O magnum mysterium",0.35120097,-0.20613943,-0.4198802,-0.32592404,-0.16747056,0.45094973,0.22035247,0.42934364,-0.1639294,0.18317515,-0.14097792,-0.08393251
"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live | Spiegel im Spiegel - Version for Violin and Piano | Sonata III: V. Rondeau | Bach, JS: Gottes Zeit ist die allerbeste Zeit, BWV 106 ""Actus tragicus"": No. 2, Chöre, Arioso und Aria. ""Gottes Zeit ist die allerbeste Zeit"" (Arr. Kurtág for Piano 4-Hands) | Cello Sonata No. 4 in C Major, Op. 102, No. 1: I. Andante",0.22601102,-0.22191884,-0.38404864,-0.4739142,-0.25663662,0.32987264,0.2403811,0.46577507,-0.04379556,0.20175897,-0.14066806,0.12555069
"Can Can | Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto | Respiro 3 | Concerto for violoncello piccolo in G Major, RV. 414: II. Largo | Jazz Suite No. 2: VI. Waltz 2",0.24389069,-0.41603082,-0.32722792,-0.47455695,-0.25539672,0.24771744,0.21472862,0.4160448,-0.16094549,0.15469441,-0.19119844,0.054493286
"Angels (Don’t Always Have Wings) | Jealous | L'Arlésienne Suite No. 1, WD 40: 3. Adagietto | Manon Lescaut / Act 2: Intermezzo | Shut Down",0.11164128,-0.6344449,0.014490204,-0.046903525,-0.39645138,-0.03129541,-0.021142265,0.57686996,0.014484694,0.18655014,-0.23553285,0.027212914
"Theme - From ""American Beauty"" | Halo | Après un rêve, Op. 7, No. 1 | Verses | Polovetsian Dances from Prince Igor: Introduzione",0.3226006,-0.30331507,-0.33571383,-0.052676488,-0.2662987,0.21706866,0.19337766,0.6317821,-0.1203334,0.22173539,-0.17980216,-0.1946727
"Sonatine in D Major, Op. 32: I. Allegro moderato | Idomeneo, re di Creta, K. 366: III. Marcia | The Sleeping Beauty, Op. 66, TH 13 / Act 1: 6. Valse | Clarinet Concerto in A Major, K. 622: II. Adagio | Forever Song - Solo Piano Version",0.15687066,-0.26347455,-0.36211786,-0.36528862,-0.2522753,0.36964896,0.2278528,0.60313255,-0.09591536,0.08224909,-0.09569594,0.017788026
Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon | Enjoy the Silence - Piano and String Quartet Version | Make-believe | Three Postludes (1981/82): Postlude No. 3 | Scheherazade: The Tale of the Kalendar Prince,0.18098418,-0.40924504,-0.38560337,0.040388864,-0.2362852,0.085256495,0.2507915,0.5392114,-0.28156433,0.23735379,-0.15590826,-0.26976785
"What About Us | Violin Concerto In D, Op. 61: 2. Larghetto - | An Idea | Remembrance | Moments",0.18509807,-0.44380686,-0.16338809,-0.21769543,-0.27960807,0.124966435,0.25529408,0.61674803,-0.13215464,0.3016079,-0.18066683,-0.11943226
"Piano Concerto in One Movement: Adagio cantabile | Symphony No. 6 in F Major, Op. 68 ""Pastoral"": II. Szene am Bach. Andante molto mosso | Give Me Everything - Stripped Down | Pelleas and Melisande Suite, Op. 46, JS 147: Act III Scene 4: Andantino pastorale | El cant dels ocells (Song of the Birds) (version for cello and orchestra)",0.41763455,-0.32044467,-0.33497685,-0.09355693,-0.20984197,0.27471387,0.18160671,0.5028516,-0.14495447,0.31447265,-0.19441326,-0.1972078
"Je ne me consolerai jamais | Mendelssohn: 3 Fantaisies, Op. 16: III. Andante | Concerto grosso in G Minor, Op. 6, No. 8, ""Fatto per la Notte di Natale"": III. Adagio - Allegro - Adagio | String Symphony No. 4 in C Minor, MWV N4: II. Andante | The Mission: Gabriel's Oboe",0.1956229,-0.25814697,-0.45590016,-0.26849166,-0.20193017,0.35245225,0.23821239,0.57664055,-0.20129433,-0.045386832,-0.07247821,-0.11431893
"Pictures at an Exhibition (Orch. Ravel): Promenade 2 - Live | Bulgaria | 6 Chants polonais, S. 480: No. 2, Frühling (Wiosna, Spring) [After Chopin's Op. 74] | Sadko: Introduction | Symphony No. 8 in B Minor, D. 759 ""Unfinished"": I. Allegro moderato",0.37775645,-0.23260485,-0.35039428,-0.033905346,-0.3270033,0.366537,0.30161002,0.4900517,-0.12621443,0.21748376,-0.07781665,-0.19386826
"Ravel: Pavane pour une infante défunte, M. 19 | Christmas Oratorio, BWV 248, Pt. 2: No. 10, Sinfonia | Cello Sonata in G Minor, Op. 65: III. Largo | You Oughta Know | Vocalise, Op 34, No. 14",0.3073453,-0.21185715,-0.39187297,-0.3024191,-0.26385835,0.34931383,0.29344928,0.5361018,-0.07658905,0.19681756,-0.075786196,-0.011323808
"What Was I Made For? - Piano Version | Mendelssohns Lieder, S. 547: Auf Flugeln des Gesanges (from Op. 34, No. 2) | Numb - Piano Version | this is me trying | Méditation from Thaïs",0.35580677,-0.27298158,-0.42059237,-0.2562186,-0.17080387,0.34921154,0.2306762,0.5053175,-0.17274606,0.18816544,-0.1304193,-0.120000556
"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": II. Largo | Hallelujah (Arr. Hodgefor Cello and Strings) | Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude | Dreamweaver: 2. Dreamsong | 3 Visions: No. 2, Summerland",0.15917331,-0.38103592,-0.16982925,-0.25581667,-0.27961427,0.40246627,0.105134204,0.59525985,-0.086041,0.21942136,-0.25441235,-0.09677845
"Defying Gravity (Arr. Piano) - from ""Wicked"" | Carmen Suite No. 2: Nocturne: Andantino molto* (Act III) | Peer Gynt Suite No. 1, Op. 46: I. Morning Mood | Fall | Zadok the Priest (Coronation Anthem No. 1, HWV 258)",0.27835625,-0.40451384,-0.36489177,-0.3500604,-0.15735249,0.3635822,0.22610208,0.4613275,-0.23318802,0.12465389,-0.08743912,-0.068849586
"Rose Bay | City Lights | Fracture | PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6: IV. Funebre) - Upright Version | Sinfonia in F Major, Fk 67 ""Dissonant"": IV. Menuet No. 1 - Menuet No. 2",0.17155957,-0.40810463,-0.27483937,-0.30371916,-0.29085252,0.16035852,0.24943669,0.607236,-0.09975485,0.2507284,-0.14877512,0.004678865
"Mad Rush: Part D (Bar 232 - Bar 273) | Minuet & Trio in C Major, K. 485a (Compl. Attwood) | Violin Concerto No. 1 in G Minor, Op. 26: III. Finale. Allegro energico | Solomon, HWV 67: The Arrival Of The Queen Of Sheba | Barber: Adagio for Strings",0.27241594,-0.27288467,-0.41415104,-0.013034296,-0.2643853,0.31384975,0.24678957,0.5165801,-0.22979596,0.18256469,-0.15941179,-0.2681846
"Woman´s Prayer | Cantabile, MS 109/Op. 17 (Arr. for Cello and Guitar) | Waltz in C-sharp minor, Op. 64 No. 2 | Naomi's Joy | Borodin: String Quartet No. 2 in D Major: III. Notturno. Andante (Orch. Marriner)",0.31211555,-0.22933276,-0.3836468,-0.10009634,-0.36385253,0.24135287,0.3195655,0.5816929,-0.053179026,0.23598763,-0.039189573,-0.040043853
"Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 3. Allegro | Bach: Prelude in B minor, BWV 855a (Arr. by Alexander Siloti) | Étude No. 8: Through the Window | Ravel: Pavane pour une infante défunte, M. 19 | Adagio in G Minor (Arr. for Harp and Orchestra)",0.22220612,-0.31538025,-0.45205244,-0.4254628,-0.085535824,0.13779487,0.29994148,0.54806095,-0.18165474,0.10935736,-0.06400894,-0.009773362
"Grieg: Peer Gynt, Op. 23, Act 3: No. 12, The Death of Åse | Cats: Memory | Goldberg Variations, BWV 988: Variation 1 (Arr. for Harp) | Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio | Elégie in C Minor, Op. 24 (Arr. Parkin for Cello Ensemble)",0.24213408,-0.13913637,-0.44880116,-0.40241796,-0.18668827,0.49591282,0.2257786,0.44402933,-0.11871715,0.07106486,-0.10281188,-0.0039104205
"Children's Song No. 1 (Arr. for guitar by Forbes Henderson) - Classical Session | Pathos | The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano) | Suite No. 3 in D Major, BWV 1068: II. Air | Feed the Birds - From ""Mary Poppins""",0.077045314,-0.39601678,-0.24074836,-0.4663728,-0.16060627,0.24956404,0.27200258,0.5618774,-0.19395164,0.16765021,-0.13090602,-0.03380652
